Paket_id,Vikt,Förtjänst,Deadline,Volym
2241323128,4.5,9,0,10.0
2241323134,6.4,6,5,12.7
2241323136,4.0,4,5,8.9
2241323140,4.8,3,1,11.8
2241323142,4.3,1,8,17.3
2241323143,0.7,3,6,5.3
2241323148,10.0,5,-4,13.9
2241323152,7.8,3,2,5.1
2241323158,0.3,4,4,6.3
2241323159,8.3,2,0,0.1
2241323160,1.0,3,4,1.1
2241323165,3.1,8,2,8.2
2241323168,8.1,6,3,14.4
2241323169,11.9,2,-2,8.8
2241323174,6.0,3,8,1.8
2241323175,7.3,8,7,15.4
2241323177,9.9,5,-4,10.3
2241323180,1.3,7,2,4.0
2241323183,5.4,5,2,7.3
2241323187,1.8,3,0,13.6
2241323192,3.9,9,3,2.0
2241323194,4.3,5,9,5.2
2241323195,2.6,9,8,15.8
2241323200,6.8,2,3,9.5
2241323206,8.6,8,-3,12.2
2241323212,7.0,4,1,3.8
2241323216,0.3,1,4,4.3
2241323220,6.0,1,7,6.1
2241323224,8.1,2,-1,12.8
2241323230,3.9,5,6,17.2
2241323236,7.2,5,-2,10.1
2241323239,2.3,4,3,12.0
2241323243,9.2,5,-5,12.3
2241323247,6.0,5,4,1.9
2241323252,10.2,1,-5,6.9
2241323256,10.6,6,-3,12.0
2241323262,4.4,6,-5,13.5
2241323265,4.5,4,1,10.6
2241323269,0.6,8,4,14.3
2241323271,4.6,6,-2,14.5
2241323272,6.6,2,6,2.8
2241323275,6.5,6,1,14.6
2241323276,11.4,3,5,11.4
2241323277,1.3,7,8,0.3
2241323283,9.9,1,-4,12.1
2241323288,8.8,4,7,17.4
2241323294,2.0,9,1,6.4
2241323297,4.3,5,6,17.3
2241323300,6.1,6,-3,8.6
2241323306,4.1,7,5,5.1
2241323311,6.9,5,2,3.9
2241323312,10.6,5,8,4.0
2241323317,7.9,1,2,11.1
2241323323,3.4,2,2,2.2
2241323328,2.0,8,0,13.2
2241323332,9.4,8,1,14.1
2241323334,4.2,5,8,16.5
2241323339,1.1,5,9,4.1
2241323340,2.4,6,8,15.0
2241323342,11.8,1,1,17.6
2241323344,6.5,3,2,10.0
2241323345,8.6,1,4,10.1
2241323351,2.7,6,4,14.8
2241323354,5.0,1,-4,7.0
2241323356,7.0,8,-5,10.6
2241323361,10.2,5,6,15.4
2241323365,3.2,6,5,6.0
2241323366,9.0,4,1,2.5
